public,user_public,type,subject,excerpt_or_original_text,response_created_at,featured,featured_at,response_language,audio
true,true,audio_only,Many of us have experienced restrictions on movement and social contact during the pandemic. Talk about any restrictions that have especially affected you.,<i>- not being able to get a haircut for 3 months was one of the most annoying things</i>,2020-06-01 22:43:47,true,2020-06-30 05:50:31.873181,en,PJP_1021_1_EN_week1_journal_2_audio.m4a
true,true,audio_only,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.",<i>- this week I'm just really tired</i>,2020-12-23 00:15:58,true,2021-02-17 14:21:29.286769,en,PJP_1027_1_EN_week30_journal_1_audio.aac 
true,true,audio_only,"Let's talk about exercise. Has the pandemic affected whether or how you exercise? If so, how?","<i>- still exercising, but it's much harder to start</i>",2020-12-31 16:21:56,true,2021-03-08 03:40:11.510845,en,PJP_1027_1_EN_week31_journal_2_audio.aac 
true,true,audio_only,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","<i>- This week I graduated after 5 years in college, which was really exciting, and I felt really great -- so free
... now it's been four days and I feel like I don't have a purpose, even though I have a lot of interests and hobbies
... it's a little confusing ... I feel lost a little
... I think I need something to anchor myself down </i>

",2021-05-14 01:56:10,true,2021-05-19 05:04:07.489233,en,PJP_1027_1_EN_week50_journal_1_audio.mp3
true,true,audio_only,Talk about how the events of recent months have affected either your work or your ability to work.,"<i> - a late night story about homelessness, laundry, collecting quarters  <i>",2020-07-24 07:10:48,true,2021-02-26 05:22:11.72716,en,PJP_1158_1_EN_week5_journal_2_audio.m4a
true,true,audio_only,Additional Material,"<i>- when I'm feeling bad, I like to go outside and dance in the rain</i>",2021-03-03 06:08:41,true,2021-04-06 21:33:08.112627,en,PJP_1218_1_EN_week35_journal_3_ptext.mp3 
true,true,audio_only,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.",<i>- this weekend I met a lot of new people -- and we can't dap people up like we usually do</i>,2020-10-11 19:31:40,true,2020-10-13 20:16:39.999847,en,PJP_1362_1_EN_week5_journal_1_audio.m4a
true,true,audio_only,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.",<i>- nothing changed dramatically in my life -- other than my girlfriend getting COVID</i>,2020-10-04 16:52:39,true,2020-10-06 05:48:29.439123,en,PJP_1407_1_EN_week2_journal_1_audio.m4a 
true,true,audio_only,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","<i> - work, customers, masks, and an apology </i>",2020-09-26 03:43:12,true,2021-02-28 15:17:40.326091,en,PJP_1431_1_EN_week1_journal_1_audio.m4a 
true,true,audio_only,"Has the pandemic disrupted your plans for the future in any major way? If so, talk about the most significant disruption(s).",<i>- before the pandemic I was intent on studying abroad .. I really saw studying abroad as my ticket out after college ... I feel so different about things now</i>,2021-03-16 04:24:41,true,2021-03-17 14:12:14.157266,en,PJP_1564_1_EN_week11_journal_2_audio.m4a
true,true,audio_only,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","<i>- I hope by the time I'm my dad's age the world will be a place where I can be ok, my family can be ok, and I can feel comfortable knowing I had some shred of impact on it.</i>",2021-04-13 21:58:10,true,2021-04-24 04:20:42.593985,en,PJP_1564_1_EN_week16_journal_1_audio.m4a
true,true,audio_only,"Have people in your community supported one another during the pandemic? Talk about why or why not, and maybe give some examples.","<i>- it depends who's supporting who for what reasons 
... the pandemic has separated us off from one other, and fomented divisions that were already there</i>",2021-01-13 03:04:24,true,2021-03-07 15:44:46.420779,en,PJP_1564_1_EN_week3_journal_2_audio.m4a 
true,true,audio_only,Who have been the most important people in your life during the pandemic? Talk about why they've been important to you.,"<i> - the pandemic has taught me the value of my family... big shout out to them</i>
",2022-05-18 20:30:34,true,2022-05-21 05:17:00.980846,en,PJP_1564_1_EN_week73_journal_2_audio.m4a 
true,true,audio_only,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.",<i>- on coronavirus arriving in Japan</i>,2021-01-29 02:11:03,true,2021-02-15 19:55:25.411305,en,PJP_1621_1_EN_week1_journal_1_audio.mp3
true,true,audio_only,"Some people are feeling intense feelings right now as a result of the pandemic. Is anything making you especially sad, angry, or hopeful right now? If so, what's on your mind?",<i>- there are a lot of moments when you're alone with your thoughts... not able to distract yourself</i>,2021-02-10 02:46:25,true,2021-03-04 05:48:21.397061,en,PJP_1631_1_EN_week2_journal_2_audio.m4a
