public,user_public,type,subject,excerpt_or_original_text,response_created_at,featured,featured_at,response_language,image
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","<strong>Over this past weekend, I went to a beautiful spot</strong> on the coast of northern MA - Plum Island, pictured above. It is a wildlife sanctuary that includes beaches and coastal habitats. Although I grew up in MA, this is not a place I have visited often. My friend and I went on Sunday - a beautiful, hot and sunny day.<strong> We wore masks in her car and had the windows open. We hiked around wearing masks.</strong> Much of Plum Island is closed off to the public, but sections of the beach are open. We had lunch in one of these sections, sitting 6 feet apart, unmasked. When we left, we forgot to put our masks on, and didn't remember until we saw masked people coming toward us. It was so nice to take a break from COVID, even briefly!",2020-08-28 19:18:41,true,2020-08-31 06:06:22.205622,en,PJP_1003_1_EN_week13_journal_1_ptext.JPG
true,true,photo_and_text,"Does this time of the year feel different than it normally does, or different than it should? If so, give some examples of what feels different.","<strong> Yes, this time of year does feel different this year.</strong> I love summer and am always sad to see summer end and autumn begin.

Last fall I did a lot of hiking in NH with my friend and my dog, Teddy. We decided to tackle 4000 footers, an awesome undertaking, and hiked 4 of them. The picture above is from our 2nd 4000 footer, and really captures some of the beautiful fall scenery we saw. We had fun in spite of the really hard work, and felt proud of our accomplishment. There was a sense of freedom and adventure that we could take for granted.

<strong>This year, I don't feel a sense of freedom and adventure. I feel much more apprehension and worry.</strong> I am worried about a second wave of the Corona virus hitting. I am worried about another quarantine. I wonder what it will be like facing all of this as winter approaches. At least when this all started, there was summer to look forward to. I worry about not being able to have social distance gatherings as it gets cold.

<strong>I am also really worried about the upcoming election.</strong> I was horrified when our current president won 4 years ago, and can't imagine what 4 more years might look like. I am also worried at the distrust and confusion that has been created about the upcoming election and voting. There is so much confusion!

I never look forward to the end of summer and this year, I am anticipating fall and winter with much more dread than usual. I certainly don't have the sense of fun and adventure that was so present last year. ",2020-09-02 17:38:04,true,2020-09-03 02:43:42.036278,en,PJP_1003_1_EN_week14_journal_2_ptext.JPG
true,true,photo_and_text,Talk about whatever else is on your mind today.,"    The Election!  We stayed up way too late on Tuesday night into Wednesday morning, following this.  I am still on pins and needles waiting for the outcome of this.  I found a recipe for an Election Cake - pictured above - in the NYT's on Tuesday, and made it while watching the returns on Tuesday night.  Baking this cake, concentrating on the directions, reading about its history, etc, helped me to manage my anxiety last night.  Fortunately it is delicious - like a sweet cinnamon raisin bread.  A new Election tradition in our house!  

     I must admit that I am also shocked that the president has done so well.  Given how poorly he has handled the pandemic, not to mention so many other things,  I figured he wouldn't come close to winning.  I truly hope that Biden wins.  However, whatever the outcome - Biden, please!! - we need to reflect as a country on what all of the votes for the president mean.    ",2020-11-04 21:39:39,true,2020-11-05 12:01:07.605889,en,PJP_1003_1_EN_week23_journal_2_ptext.JPG
true,true,photo_and_text,Describe an experience this week that made you happy.,"   3 things made me very happy this week - the outcome of the election in favor of Biden/Harris, the fact that Kamala Harris is the first woman, first Black woman and first Asian woman elected as a VP and the beautiful weather we have had since Friday.  Walking around feeling light and happy this week!!",2020-11-11 22:39:24,true,2020-11-13 16:34:14.164914,en,PJP_1003_1_EN_week24_journal_2_ptext.jpg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","<strong> I am writing this on Thanksgiving Day, 2020. This week the pandemic primarily impacted Thanksgiving, and how we decided to celebrate the holiday.</strong> My husband and I just finished our Thanksgiving dinner for 2. We spent the day preparing it, and really enjoyed ourselves. I must admit, we were pleased with how it turned out.

I was also reflecting on last Thanksgiving and how different this year is.<strong> Last year we hosted 13 people and 3 dogs. Our house was full of people, dogs and good cheer.</strong> We have a video of everyone at the table, busy talking and laughing. It was a truly wonderful and memorable day. This day was memorable, too, in a much smaller and quieter way. I do look forward to celebrating Thanksgiving again with our extended family, especially our children. However,<strong> I feel like we made the best of the situation this year, staying safe and keeping others safe, as well.</strong>

<strong> One last note. I really missed my father today. He died 2 months ago. Although we didn't spend Thanksgiving with him since my mother died 7 years ago, I always spoke to him on Thanksgiving and we exchanged cooking tips</strong> and how the food came out. He was a really difficult person who could become enraged very quickly. I do not miss that part of him at all. However, when engaged around food and cooking, we could have nice conversations, especially when he was sharing tips with me. He made the best stuffing ever - pictured above. He always added apples, raisins and nuts. I hadn't had it in a long time but I found the recipe he dictated to me about 1 year after my mother died. <strong> I followed his recipe today, and it was almost as good as his It felt like a little bit of his good side was with us today.</strong>",2020-11-26 22:32:37,true,2020-11-27 15:22:16.169216,en,PJP_1003_1_EN_week26_journal_1_ptext.JPG
true,true,photo_and_text,Talk about how the events of recent months have affected either your work or your ability to work.,"Although I am still working full time, my job has been significantly impacted by COVID 19. I am a social worker who has my own practice, mainly seeing young adults and adults, particularly new moms, in an office that I rent. On 3/13, Governor Baker declared a State of Emergency for MA. At that time I needed to scramble to get a platform from which I could conduct counseling through tele-health. Shortly after the State of Emergency, Baker announced that all insurances operating in MA needed to reimburse tele-health at the same rate that in person visits are reimbursed, paving the way for health services, including mental health, to continue.

Not being particularly adept at technology, getting a healthcare platform up and running was really challenging. ...
Most of my clients chose to continue to meet with me virtually, although a few opted out for the time being.There were some snafus in the beginning, primarily due to weak internet, such as the sessions freezing so I was missing actual content of what people were saying, not being able to hear or sometimes see clients, etc. ...
I greatly prefer working from home. The picture included above shows the view of the little desk I work from looking into my back yard, and most importantly, our cat Zelda who is a frequent companion while I am working. My dog sometimes visits, which is also fun for me, and I believe my clients, who have asked to meet him. I like the extra time working from home has created in each day, allowing time for more cooking, yoga, reading, seeing our pets and my husband.

There are many unknowns, however - should I keep my office, which I am still paying rent for and not using? If I decide to go back to my office, when will it be safe to see clients, protecting their health and my own? Will insurances continue to cover tele-health after the pandemic subsides? If not, or at a reduced rate like pre-pandemic, would I make enough money to help pay the bills? Would my clients want to continue through tele-health, or would I lose most of them? Etc, etc. ...",2020-07-01 16:33:11,true,2020-07-06 21:03:17.082736,en,PJP_1003_1_EN_week5_journal_2_ptext.jpg
true,true,photo_and_text,"Think about the people closest to you. Tell us about how the coronavirus has affected them, and their life.","This is a photo of a chalk drawing of Hope and Love drawn by a young child, another interesting find on a neighborhood walk.

Not being able to go to school, and parents doing homeschooling has affected the lives of my children and grandchildren. I have faith that my grandchildren will be able to eventually catch up on their schooling.  Other children won't be able to.I worry about this a lot. 

At this point in the evil pandemic, no one knows when children all over the world will be able to return to school. This is a problem that will be talked about and written about for perhaps endless years.

Did people write about how children were affected educationally after the Spanish Flu of 1918-1919? Where is that information?I can't find it.



",2020-05-29 16:59:42,true,2020-08-15 03:05:33.099869,en,PJP_1004_1_EN_week1_journal_2_ptext.jpg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","<strong>This week has been the first week that ""things"" have started to feel normal.</strong> We have kept ourselves isolated and limited contact with family. For us family has always been a source of comfort, and we do not go long without a large family gathering. But this week marked the first of several social distancing visits, and it felt good to see and hear my loved ones again. However, I keep revisiting that first week of shelter in place, and I find myself nostalgic for the peace and calm of my home. There was uncertainty, yes, but my husband and sister (who lives with us) were home with me, the dogs were content, and we had a few quiet days of aloneness... That is what this photo represents. It was week one, and the house was clean, the sun was out... all was calm and closed off from the rest of the world. <strong>I felt both relieved and guilty to be sheltered in place in such a comforting space.</strong>",2020-05-29 23:33:42,true,2020-08-15 03:04:29.926068,en,PJP_1006_1_EN_week1_journal_1_ptext.jpg
true,true,photo_and_text,"Would you describe yourself as someone who's healthy at this point? Why or why not? If this has changed during the pandemic, talk about what's changed.","<strong> Gardening has helped to keep me sane. I survived quarantine by seeing change in a sweet potato vine that sprouted, despite 3 months of sameness</strong>. I remember Hugh Downs on a tv show” Over Easy” asking elderly why they were growing bonsais when bonsai take decades & even century to grow. “ It gives us hope”, was the answer.

<strong> Gardening is an act of faith and hope. It can sustain you physically and spiritually-and keeps you out of stores if it is successful.</strong>

<strong> This is my current project</strong>. I purchased this<strong> Garden Tower</strong> as a Christmas gift for myself and have waited months for the weather to allow me to start plants by seed. I was looking at consolidating my garden and not thinking about composting in it when I purchased it. Now I’m excited to trim my vegetables and add to the compost so my worms have food to make compost tea, which gives my plants nutrients. This has been great so far . I’m eating more vegetables, growing future vegetables as well as herbs and flowers & enjoying watching things leaf out. I bought a 2nd tower and spent time setting it up and transplanting basil and poppies into it today. I planted some seeds, too.

<strong> Growing things is exciting. You get to see and be a part of change</strong>. In addition to hope it gives agency and is fun.

<strong> I can’t wait to make Caprese salad with my own basil and tomatoes</strong>. I hope to stay curious and try to make my own ricotta and mozzarella. There is always something new to try.",2022-05-17 20:46:48,true,2022-08-01 13:54:51.362428,en,PJP_1009_1_EN_week103_journal_2_ptext.jpeg
true,true,photo_and_text,"How is the coronavirus pandemic affecting your life right now? Tell us about your experiences, feelings, and thoughts.","<strong>Christmas Eve 2019 was such fun!</strong>

<strong>I’d traveled across center city Philadelphia and attended an aqua aerobics class</strong> @ the Logan Hotel on the Parkway.<strong> I met my friend Liz there </strong>and we traveled back through town together. I don’t ’t recall whether we ate lunch together as we often did on Tuesdays and Thursdays after class; probably not, as it was Christmas Eve & lots to accomplish.

We parted @ city Hall and she took a subway south to get to her home.

<strong>I walked back </strong>to check out a cloak for my daughter and purchase leggings from a Christmas Village vendor outside of city Hall. <strong>A young black woman tapped me in my shoulder </strong>& I turned to see her. <strong>We laughed: we were wearing the same furry coat. “You’re my sister from another mother,” I said. We laughed and parted. </strong>I rounded city hall

and cut through <strong>the former John Wanamaker store </strong>& took this photo.

<strong>The store was a fixture in Philadelphia. </strong>John Wanamaker started the department store. He was a devout Christian-I have a hymnal he wrote and a mug from its last days as Wanamakers. He installed a large organ and sometimes there are concerts. <strong>In the center of the first floor is a giant sculpture of a bronze eagle. “meet me @ the eagle” were directions for meeting up in the days before cellphones, </strong>days when you needed a fix point and some estimate of a timeto meet.

The mayor, Ed Rendell had signed my shopping bag “ a day that will live in infamy” with the date as I was one of the last to exit it as Wanamakers. He had a special affection for Wanamakers -he and wife Midge got their first credit cards there when they were students @ Penn in the 60’s.

It closed & became a Lord and Taylor, then a Macy’s.

<strong>It was the store my mother would take us to on an annual visit to the city sometime close to Christmas. </strong>We’d make a pilgrimage into town from Bucks County, driving to Olney and riding on the subway, a real novelty for my brother and I.

We’d see the store windows of Snellenbergs, Lits, Strawbridges and Gimbels department stores. We’d stuff nickels into the automat and retrieve a slice of lemon meringue pie from a little window of available pies. We’d meet my dad @ the eagle when he left work in town & visit the toy department and Santa @ Wanamakers, riding a little train around the ceiling of the 8 th floor before riding the subway and then driving home. This was an annual ritual.

<strong>How is this different?</strong>

The stores we visited are gone, Macy continues to operate Wanamakers building but there is no way that I was assembling indoors or meeting anyone. The Aqua classes resumed but were shut down. I never attempted to return. I knew @ some basic level that I would be crushed to resume and lose my freedom a gain. <strong>I’ve quarantined since 3/21/29

Would the black woman feel free to tap me on my shoulder this year after all the racial strife? I’m a 75 yo white-haired

White woman</strong>

The streets are full of unrest. <strong>When Congress finally hammered out a deal to provide some support for people Trump nixed it and played golf several times over the Christmas holiday.</strong>

<strong>Christmas Eve was a joyous time to be out and about in the city, meeting and interacting with strangers, in and out of crowds and stores, casualty using public transportation.</strong>

Most shopping was done online with packages delivered to your home. I don’t know if Macy’s will survive. Lord and Taylor is closing by year’s. end. Their store is on city avenue/@ the western suburban edge of the city.

<strong>I’ve been in for 9 months. I’m trying to use the internet to shop. I sent my Philadelphia daughter’s gift to CA accidentally, Good Luck Macy’s -and me</strong>",2020-12-27 02:23:27,true,2020-12-28 21:36:25.744956,en,PJP_1009_1_EN_week30_journal_1_ptext.MOV
